"Line","population","ala","arg","asp","gln","glu","gly","his","ile","leu","lys","met","phe","pro","ser","thr","trp","tyr","val","total","ShikFam","AspFam","AspFam_Asp","SerFam","GluFam","GluFam_glu","BCAA","PyrFam","ala_t","arg_t","asp_t","gln_t","glu_t","gly_t","his_t","ile_t","leu_t","lys_t","met_t","phe_t","pro_t","ser_t","trp_t","tyr_t","val_t","ile_BCAA","leu_BCAA","val_BCAA","arg_GluFam","gln_GluFam","glu_GluFam","his_GluFam","pro_GluFam","phe_ShikFam","trp_ShikFam","tyr_ShikFam","gly_SerFam","ser_SerFam","ala_PyrFam","leu_PyrFam","val_PyrFam","asp_AspFam","ile_AspFam","lys_AspFam","met_AspFam","thr_AspFam"
1,1,0.564007421,0.311688312,1.85528757,0.326530612,3.799628942,0.445269018,0.118738404,0.148423006,0.178107607,0.237476809,0.074211503,0.26716141,0.667903525,0.608534323,0.237476809,0.949907236,0.118738404,0.371057514,11.28014843,1.33580705,2.552875697,1.37600000036652,1.053803341,5.224489795,1.3749999999342,0.697588127,1.113172542,0.0499999999556743,0.0276315789578666,0.164473684146371,0.0289473683813928,0.336842105011201,0.0394736843015106,0.0105263157428151,0.0131578947671702,0.015789473702874,0.0210526315742815,0.00657894738358509,0.0236842105099853,0.0592105262749632,0.0539473684035557,0.084210526297126,0.0105263157428151,0.0328947368292742,0.212765957812811,0.255319149088671,0.531914893098517,0.059659090979237,0.0624999999641113,0.727272727307528,0.02272727264462,0.127840909104503,0.2,0.711111111443827,0.0888888885561729,0.422535211909145,0.577464788090855,0.506666666415133,0.160000000251533,0.333333333333333,0.726744185852932,0.0581395350249206,0.0930232558048438,0.0290697675124603,0.0930232558048438
15,1,0.693240901,0.429809359,2.051993068,0.13864818,4.880415945,0.582322356,0.110918544,0.13864818,0.194107452,0.235701906,0.124783362,0.332755633,0.180242634,0.693240901,0.249566724,0.818024263,0.083188908,0.305025997,12.24263431,1.233968804,2.80069324,1.36486486415362,1.275563257,5.740034662,1.17613636351645,0.637781629,1.19237435,0.0566251415705318,0.0351075878047688,0.167610419133723,0.01132502829777,0.39864099681664,0.047565118850634,0.00906002263821601,0.01132502829777,0.015855039616878,0.019252548106209,0.010192525467993,0.0271800679963298,0.014722536787101,0.0566251415705318,0.0668176670385248,0.00679501697866201,0.0249150623367758,0.217391304006971,0.304347825609759,0.47826087038327,0.0748792270969043,0.0241545893298998,0.850241545980407,0.0193236714639198,0.0314009661288697,0.269662921721642,0.662921348050546,0.0674157302278122,0.456521738772537,0.543478261227463,0.581395348700683,0.162790697401366,0.255813953897952,0.732673267708533,0.0495049504243457,0.0841584157213876,0.0445544553819111,0.0891089107638222
66,1,0.872987478,0.457960644,3.105545617,0.314847943,5.76744186,0.515205726,0.128801431,0.200357782,0.186046512,0.329159213,0.100178891,0.615384615,0.515205725,0.872987478,0.243291592,1.960644007,0.186046512,0.515205725,16.88729875,2.762075134,3.978533095,1.28110599091548,1.388193204,7.184257603,1.24565756836255,0.901610019,1.574239715,0.0516949152687904,0.027118644063782,0.183898305050119,0.0186440678086541,0.341525423656048,0.0305084746605789,0.00762711863553666,0.0118644067927086,0.0110169491731175,0.0194915254282453,0.00593220339635432,0.036440677938501,0.0305084746013628,0.0516949152687904,0.116101694890665,0.0110169491731175,0.0305084746013628,0.222222222222222,0.206349206507653,0.571428571270125,0.0637450199181005,0.0438247012284924,0.802788844541381,0.0179282868345666,0.0717131474774597,0.222797927335455,0.709844559572361,0.0673575130921837,0.371134021197816,0.628865978802184,0.554545454343337,0.118181818326188,0.327272727330475,0.780575539487878,0.0503597122898886,0.0827338129758601,0.0251798561449443,0.0611510791014295
78,1,1.005025126,0.884422111,2.639865997,0.42881072,5.641541039,0.64321608,0.174204355,0.227805695,0.201005025,0.281407035,0.13400335,0.48241206,0.37520938,0.790619765,0.227805695,0.603015075,0.120603015,0.469011725,15.32998325,1.20603015,3.510887772,1.32994923832871,1.433835845,7.504187605,1.33016627072701,0.897822445,1.675041876,0.0655594405819067,0.0576923077199057,0.17220279722093,0.0279720279537814,0.368006993027863,0.041958041930672,0.0113636363562237,0.0148601398504463,0.013111888103335,0.018356643344669,0.00874125873555667,0.031468531448004,0.0244755244595587,0.0515734265397844,0.039335664310005,0.00786713286200101,0.0305944055744484,0.253731343283582,0.223880597014925,0.522388059701492,0.117857142911874,0.0571428571047832,0.751785714317839,0.0232142856988182,0.0499999999666853,0.4,0.5,0.1,0.448598130841121,0.551401869158878,0.6000000002388,0.11999999992836,0.27999999983284,0.751908397087892,0.0648854961462437,0.0801526717100657,0.0381679389095551,0.0648854961462437
91,1,0.92,0.4,4.626666667,0.253333333,4.853333333,0.279999999,0.093333333,0.28,0.253333333,0.266666667,0.106666667,0.226666667,0.346666667,0.693333333,0.373333333,2.32,0.08,0.466666667,16.84,2.626666667,5.653333334,1.22190201734713,0.973333332,5.946666666,1.22527472522152,1,1.64,0.0546318289786223,0.0237529691211401,0.274742676187648,0.0150435470902613,0.288202691983373,0.0166270783254157,0.00554235944180523,0.0166270783847981,0.0150435470902613,0.0158353127672209,0.00633412511876485,0.0134600158551069,0.0205859065914489,0.0411718131235154,0.137767220902613,0.00475059382422803,0.027711797327791,0.28,0.253333333,0.466666667,0.0672645739985723,0.0426008968097086,0.81614349779329,0.0156950672102797,0.0582959641881498,0.0862944163596073,0.88324873085238,0.0304568527880131,0.287671232243385,0.712328767756615,0.560975609756098,0.154471544512195,0.284552845731707,0.818396226377548,0.0495283018809519,0.0471698113741545,0.0188679245850392,0.0660377357823069
94,1,0.563233377,0.406779661,3.024771838,0.260756193,5.0273794,0.625814862,0.13559322,0.177314211,0.166883963,0.219035202,0.073011734,0.406779661,0.22946545,0.917861799,0.281616688,1.543676662,0.13559322,0.406779661,14.6023468,2.086049543,3.775749673,1.24827586185692,1.543676661,6.059973924,1.20539419085816,0.750977835,1.136897001,0.0385714286007781,0.027857142866926,0.207142857201556,0.017857142866926,0.344285714403112,0.0428571427984439,0.00928571426614796,0.012142857133074,0.0114285713992219,0.015,0.005,0.027857142866926,0.015714285733852,0.062857142866926,0.105714285733852,0.00928571426614796,0.027857142866926,0.236111111055628,0.222222221778356,0.541666667166016,0.0671256454403186,0.0430292599061025,0.829604130818039,0.0223752150917671,0.037865748743773,0.195000000055128,0.740000000086287,0.0649999998585844,0.405405405037733,0.594594594962267,0.495412844351412,0.146788990430277,0.357798165218311,0.801104972511773,0.046961325923685,0.0580110497171723,0.0193370165723908,0.0745856352749792
116,1,0.491909385,0.388349515,3.365695793,0.194174757,4.466019417,0.50485437,0.129449838,0.129449838,0.194174757,0.220064725,0.077669903,0.375404531,0.284789644,0.737864078,0.233009709,1.734627832,0.116504854,0.310679612,13.95469256,2.226537217,4.025889968,1.19615384621898,1.242718448,5.462783171,1.22318840581073,0.634304207,0.996763754,0.0352504638052735,0.0278293135681952,0.241187383994936,0.0139146567482673,0.320037105640112,0.0361781076744839,0.00927643783217823,0.00927643783217823,0.0139146567482673,0.0157699443433672,0.00556586271363903,0.0269016697706452,0.0204081632594563,0.0528756957437406,0.124304267151838,0.00834879403462831,0.0222634508545561,0.204081632395668,0.306122448593503,0.489795919010829,0.0710900474801217,0.0355450236485324,0.817535545014587,0.023696682432355,0.0521327014244037,0.168604651264628,0.779069767509752,0.0523255812256203,0.406250000402344,0.593749999597656,0.493506493415289,0.194805194531582,0.311688312053129,0.836012861690809,0.0321543407864941,0.054662379436397,0.0192926045215749,0.0578778135647248
126,1,0.918727915,0.5795053,2.176678445,0.212014134,6.091872792,0.890459364,0.169611307,0.113074205,0.141342756,0.282685512,0.056537102,0.5795053,0.409893993,0.80565371,0.35335689,1.272084806,0.169611307,0.466431095,15.68904593,2.021201413,2.982332154,1.37012986959587,1.696113074,7.462897526,1.22505800446136,0.720848056,1.526501766,0.058558558570043,0.036936936929472,0.138738738780657,0.0135135135014548,0.388288288477208,0.0567567567825968,0.0108108107884161,0.00720720721352366,0.00900900900096989,0.0180180180019398,0.00360360357489246,0.036936936929472,0.0261261261410559,0.0513513513565194,0.0810810811362065,0.0108108107884161,0.0297297297159484,0.156862745288447,0.196078431263745,0.647058823447809,0.0776515151093875,0.0284090908740692,0.816287878907156,0.0227272726724561,0.0549242424369315,0.286713286599112,0.629370629675094,0.0839160837257934,0.525000000088438,0.474999999911562,0.601851852033822,0.0925925925198045,0.305555555446373,0.729857820189669,0.0379146919796781,0.0947867297815413,0.018957345822185,0.118483412226927
149,1,0.700143472,0.539454806,2.157819225,0.183644189,5.658536585,0.654232425,0.12625538,0.183644189,0.241032999,0.263988522,0.068866571,0.516499283,0.344332855,0.803443329,0.30989957,0.987087518,0.137733142,0.413199426,14.28981349,1.641319943,2.984218077,1.38297872334509,1.457675754,6.852223815,1.21095334669467,0.837876614,1.354375897,0.0489959839216908,0.0377510039845873,0.151004016008329,0.0128514055924183,0.395983935616783,0.0457831325410812,0.0088353413491613,0.0128514055924183,0.0168674699056552,0.01847389556097,0.00481927710590434,0.0361445783292725,0.0240963855295217,0.0562248996155372,0.0690763052079555,0.00963855421180868,0.028915662635426,0.219178081750352,0.287671233416237,0.493150684833412,0.0787269681441367,0.0268006699661488,0.825795645001126,0.0184254606108484,0.0502512562777402,0.314685314830175,0.601398601296347,0.0839160838734779,0.44881889762159,0.55118110237841,0.516949152410972,0.177966101976488,0.30508474561254,0.723076923107855,0.0615384614198891,0.0884615383958081,0.0230769230743454,0.103846154002102
166,1,0.549520767,0.536741214,2.568690096,0.178913738,6.261980831,0.460063899,0.178913738,0.166134185,0.178913738,0.255591054,0.102236422,0.460063898,0.383386581,0.702875399,0.383386581,0.42172524,0.089456869,0.460063898,14.33865815,0.971246007,3.476038338,1.35323383050876,1.162939298,7.539936102,1.20408163255203,0.805111821,1.188498403,0.0383244206850695,0.0374331550682795,0.179144384999513,0.0124777183560932,0.436720142533003,0.0320855615767644,0.0124777183560932,0.0115864527393032,0.0124777183560932,0.0178253119173498,0.00713012479483654,0.0320855615070229,0.0267379678760247,0.0490196078075827,0.0294117647263946,0.00623885917804659,0.0320855615070229,0.206349205994331,0.222222222222222,0.571428571783447,0.0711864406725711,0.0237288135575237,0.830508474645957,0.0237288135575237,0.0508474575664249,0.473684210472126,0.434210526437716,0.0921052630901575,0.395604396369792,0.604395603630208,0.462365591415944,0.150537634336224,0.387096774247832,0.738970588419327,0.0477941175687919,0.0735294116885543,0.0294117647904952,0.110294117532831
173,1,0.549141966,0.299531981,2.620904836,0.212168487,4.305772231,0.48673947,0.074882995,0.099843994,0.124804992,0.187207488,0.074882995,0.199687988,0.187207488,0.47425897,0.249609984,3.469578783,0.099843994,0.299531981,14.01560062,3.769110765,3.232449297,1.23333333305353,0.96099844,5.079563182,1.17971014477472,0.524180967,0.973478939,0.0391807658400586,0.0213713267894187,0.186999109567949,0.0151380231752066,0.307212822892209,0.0347284060952359,0.00534283167951742,0.00712377562025594,0.00890471948964539,0.0133570792344681,0.00534283167951742,0.0142475512405119,0.0133570792344681,0.0338379340891921,0.247551202197427,0.00712377562025594,0.0213713267894187,0.190476191021259,0.238095237822704,0.571428571156038,0.0589680589192049,0.0417690418246677,0.847665847775648,0.0147420146805844,0.0368550367998947,0.0529801325698105,0.920529801145284,0.0264900662849053,0.506493506898929,0.493506493101071,0.564102564523997,0.128205128020751,0.307692307455252,0.810810810994756,0.0308880309716425,0.0579150578398075,0.0231660230740504,0.0772200771197433
178,1,0.727272727,0.249350649,2.971428571,0.176623377,4.561038961,0.77922078,0.093506494,0.114285714,0.145454545,0.207792208,0.072727273,0.332467532,0.197402597,0.831168831,0.166233766,1.153246753,0.114285714,0.332467532,13.22597402,1.599999999,3.532467532,1.18881118882531,1.610389611,5.277922078,1.15717539866023,0.592207791,1.205194804,0.0549882168149004,0.0188531028885236,0.224666143038439,0.0133542812599597,0.34485467415125,0.0589159466684027,0.00706991363045185,0.00864100548112221,0.0109976433327366,0.0157109191115741,0.00549882170417268,0.0251374705180315,0.0149253731106301,0.0628436763706874,0.0871956009633837,0.00864100548112221,0.0251374705180315,0.192982456051477,0.245614034821099,0.561403509127424,0.0472440944210545,0.0334645669999981,0.864173228326316,0.0177165355263132,0.0374015747263179,0.20779220762987,0.720779221075487,0.0714285712946429,0.483870968042404,0.516129031957596,0.603448276234022,0.120689654914908,0.27586206885107,0.841176470578244,0.0323529410998702,0.0588235294783737,0.0205882353740484,0.0470588234694637
223,1,0.734177215,0.303797468,1.670886076,0.164556962,4.620253165,0.379746834,0.126582278,0.113924051,0.139240506,0.202531646,0.101265823,0.329113924,0.202531646,0.556962025,0.278481013,0.860759494,0.113924051,0.316455696,11.21518987,1.303797469,2.367088609,1.41666666746465,0.936708859,5.417721519,1.17260273961633,0.569620253,1.189873417,0.0654627539533577,0.0270880360940336,0.148984198695514,0.0146726862324623,0.411963882783556,0.0338600450283772,0.0112866816761257,0.010158013579845,0.0124153498615713,0.0180586907887989,0.00902934539439946,0.0293453724649247,0.0180586907887989,0.0496613995354499,0.0767494357186482,0.010158013579845,0.0282167042794791,0.200000000702222,0.244444443937284,0.555555555360494,0.0560747662895886,0.0303738317709571,0.85280373839754,0.0233644858924688,0.0373831776494454,0.252427184302196,0.660194174682816,0.0873786410149873,0.40540540462637,0.59459459537363,0.617021276810321,0.117021276390109,0.26595744679957,0.705882352543567,0.0481283423725014,0.0855614974572336,0.0427807487286168,0.117647058898081
258,1,0.547112462,0.547112462,2.662613982,0.279635258,4.802431611,0.62006079,0.121580547,0.20668693,0.243161094,0.267477204,0.060790274,0.352583587,0.303951368,0.790273556,0.303951368,1.155015198,0.085106383,0.474164134,13.82370821,1.592705168,3.501519758,1.31506849346966,1.410334346,6.054711246,1.26075949361395,0.924012158,1.26443769,0.0395778364016843,0.0395778364016843,0.192612137174154,0.0202286719129179,0.347405452867267,0.0448548812359517,0.00879507474789212,0.0149516270786506,0.0175901494957842,0.0193491644887664,0.00439753741011581,0.0255057168195248,0.0219876869059,0.0571679858974685,0.0835532102134844,0.00615655233075843,0.0343007915674169,0.223684210440876,0.263157894509003,0.513157895050121,0.0903614457851224,0.0461847388981166,0.79317269079887,0.0200803212672316,0.0502008032506593,0.221374045921348,0.725190839589214,0.0534351144894383,0.439655172377118,0.560344827622882,0.432692307677099,0.192307692125185,0.375000000197716,0.760416666482223,0.0590277777321627,0.076388888964253,0.0173611112320903,0.0868055555892711
259,1,0.657698057,0.454409567,1.482810164,0.155455904,5.536621824,0.286995516,0.131539611,0.167414051,0.179372197,0.20328849,0.131539611,0.406576981,0.215246637,0.597907324,0.227204783,1.08819133,0.095665172,0.322869955,12.34080717,1.590433483,2.212257099,1.49193548352289,0.88490284,6.493273543,1.17278617709686,0.669656203,1.159940209,0.053294573680629,0.0368217054800638,0.120155038772881,0.0125968992026637,0.448643411061418,0.0232558139874087,0.010658914703713,0.0135658914926551,0.0145348837016145,0.0164728682005652,0.010658914703713,0.0329457364821624,0.0174418604905566,0.0484496123927362,0.0881782945807102,0.00775193799580291,0.0261627906953188,0.250000000373326,0.267857142510483,0.482142857116191,0.0699815838637926,0.0239410680869263,0.852670349914442,0.0202578268309372,0.0331491713039017,0.255639097985464,0.684210526017956,0.0601503759965798,0.324324324690833,0.675675675309167,0.567010309580535,0.15463917502665,0.278350515392815,0.670270270426647,0.0756756757954018,0.09189189181126,0.0594594593275164,0.102702702639175
