pathway,n_genes,size
aa_deg_bcat,158,1070
aa_deg_bcat_haplo,160,1094
aa_degradation,156,1055
aa_syn_nobcat,379,2108
aa_syn_nobcat_haplo,376,2084
aa_synthesis,380,2123
aa_transport,144,939
asp_protease,78,493
cys_protease,106,628
degradation_AAA,81,562
degradation_autophagy,42,220
degradation_subtilases,91,634
degradation_ubiquitin,2691,16000
e_alt_oxidase,10,66
flavonoids,171,1062
glycolysis,148,858
glycolysis_cystolic,106,562
glycolysis_other,19,114
glycolysis_plastid,27,190
isoprenoids,269,1788
metallo_protease,86,611
N_containing,39,229
phenylpropanoids,161,845
protein_aa_activation,203,1231
protein_assembly,44,312
protein_degradation,996,6405
protein_degradation_old,3616,22072
protein_folding,138,814
protein_glyco,87,459
protein_postrans,1407,8794
protein_synthesis,1383,7290
protein_targeting,624,3689
S_containing,113,733
ser_protease,225,1359
tca_cycle,167,926
