pathway,n_genes,size
aa_degradation,156,1055
aa_synthesis,380,2123
aa_transport,144,939
asp_protease,78,493
cys_protease,106,628
degradation_AAA,81,562
degradation_autophagy,42,220
degradation_subtilases,2775,16606
degradation_ubiquitin,2691,16000
e_alt_oxidase,1499,9429
flavonoids,171,1062
glycolysis_cystolic,1759,11092
glycolysis_other,1666,9942
glycolysis_plastid,1274,7645
isoprenoids,269,1788
metallo_protease,86,611
N_containing,39,229
phenylpropanoids,161,845
protein_aa_activation,203,1231
protein_assembly,44,312
protein_degradation,3616,22072
protein_folding,138,814
protein_glyco,87,459
protein_postrans,1407,8794
protein_synthesis,1383,7290
protein_targeting,624,3689
S_containing,113,733
ser_protease,225,1359
tca_cycle,2769,17077
